Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1685036511&sprefix=ba%2Caps%2C283&sr=8-13,,₹699,4.0,"4,022",Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>    Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>    Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>,,,Brand: FUR JADEN
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1685036511&sprefix=ba%2Caps%2C283&sr=8-14,,"₹1,999",4.5,"7,037",,,,
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685036511&sprefix=ba%2Caps%2C283&sr=8-15,,₹649,4.4,"3,041",,,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1685036511&sprefix=ba%2Caps%2C283&sr=8-16,,₹599,3.8,141,,,,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-1,,₹598,4.3,"10,922",,,,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-2,,"₹1,199",4.0,"54,203",,,,
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-3,,₹669,4.1,"4,547",,,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-4,,₹499,3.9,801,,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-5,,₹529,3.9,"15,923",,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-6,,₹699,4.0,"4,022",,,,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-7,,₹749,3.9,"2,764",,,,
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-8,,₹899,4.3,"5,925",,,,
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-9,,₹599,3.8,"2,034",,,,
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-10,,₹248,4.0,"19,027",,,,
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-11,,₹698,4.1,"1,274",,,,
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-12,,₹899,3.9,"9,506",,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-13,,₹699,4.0,"4,022",,,,
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-14,,"₹1,999",4.5,"7,037","Laptop Compatibility: Yes, Laptop Size: 17 inches    Outer Material: Polyester, Color: Black    Weight: 1.20 grams; Dimensions: 53 cms x 32 cms x 27 cms (LxWxH)    Number of compartments: 1; Warranty type: Manufacturer; 18 months    Closure Type: Zipper; Special Features: Back Padding; Pocket Description: Utility Pocket; Age Range Description: Adult",,,Visit the Safari Store
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-15,,₹649,4.4,"3,041","Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort    Smooth zippers that never jam or break    Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use    Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials    
› See more product details",,,Brand: Lenovo
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1685036528&sprefix=ba%2Caps%2C283&sr=8-16,,₹599,3.8,141,,,,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-1,,₹598,4.3,"10,922",,,,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-2,,"₹1,199",4.0,"54,203",,,,
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-3,,₹669,4.1,"4,547",,,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-4,,₹499,3.9,801,Material: Water Resistant Light-Weight Polyester<br>    Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>    Closure Type: Zipper<br>,,,Visit the ADISA Store
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-5,,₹529,3.9,"15,923",,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-6,,₹699,4.0,"4,022",,,,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-7,,₹749,3.9,"2,764",,,,
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-8,,₹899,4.3,"5,925",,,,
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-9,,₹599,3.8,"2,034",,,,
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-10,,₹248,4.0,"19,027",,,,
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-11,,₹698,4.1,"1,274",,,,
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-12,,₹899,3.9,"9,506",,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-13,,₹699,4.0,"4,022",,,,
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-14,,"₹1,999",4.5,"7,037",,,,
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-15,,₹649,4.4,"3,041",,,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1685036540&sprefix=ba%2Caps%2C283&sr=8-16,,₹599,3.8,141,,,,
